"iso","umd_tree_cover_extent_2000__ha","area__ha"
"ABW",7.51631835594672208,18.56509766869792418
"AGO",2457477.85112506471911624,2458838.11322636136180598
"AIA",0.0,0.5842616608018664
"ARG",4412127.12485903952456025,4417359.76129024410660934
"ATG",58.84759302234266886,90.61950718745442832
"AUS",12674.76080833662868906,12750.97399164482585730
"BDI",24848.88025640736395735,24896.11901882135254579
"BEN",1870.91972175514900578,1959.51137900815974757
"BES",741.83835482845888497,760.59447421466061084
"BGD",96621.28585831058138564,101115.48521385076897411
"BHS",11265.25790703932953687,11920.23427167003204096
"BLZ",1164465.74318595385623525,1165888.95290805197942163
"BOL",40817156.01634671851998048,40833752.27469186071823883
"BRA",343229983.06633130294889081,343383393.97016028365380700
"BRN",431455.22776917233630966,431535.44002963350985699
"BTN",1605449.19991373205711869,1645544.73114511534362220
"CAF",7363125.76102422145374598,7364398.40336041794987954
"CHL",0.0,0.73168401962348088
"CHN",1736513.62674297269980272,1760102.19192934101172582
"CIV",1365239.67649171938604967,1365621.27937028113446775
"CMR",19075628.65885386609031336,19082105.99457986905922871
"COD",104580066.63212400829309349,104595276.48393665443205288
"COG",21153179.37070980531602804,21157919.47192594535627234
"COL",54763585.69937711929184872,54836889.05401427255557258
"CRI",1485835.10087975778769820,1489440.89259769465935270
"CUB",400819.12510952740995658,440563.74288679758470791
"CUW",0.30077198523437502,0.30077198523437502
"CYM",6199.19541270845205469,6849.96901884096589689
"DMA",35963.26813225059513395,36045.68994583912972395
"DOM",316879.65256831690084115,318330.10134539931908997
"ECU",10627032.03596433577888378,10652183.03265291059065895
"ETH",1890183.85911575472769493,1906097.11810494237736051
"FJI",533104.04261128362065733,534683.55123774664339954
"GAB",22669525.28197263360087784,22683205.73050750915656952
"GHA",1090290.34530117164638665,1090490.37544111349916665
"GIN",233461.10348587132667060,235943.42460212558305150
"GLP",36892.28263336226649230,37068.91164447744314979
"GMB",110.53172934183105742,668.73277407976867582
"GNB",71370.57234542797881488,81741.15329690437504350
"GNQ",2246143.71826514366996638,2249638.58477668562022314
"GRD",0.0,0.07523703303982206
"GTM",2583218.75289227619823572,2584881.04200780936091183
"GUF",7854129.36135568920291407,7854979.54190563709977823
"GUY",17293018.22510543582829325,17297898.96320332568430037
"HND",2150089.78598130002537257,2154615.20371472937816477
"HTI",8682.05454945330917686,9193.39914457900567414
"IDN",93837980.89189087991107766,93872257.80225254666502259
"IND",10185416.98953686770510307,10343833.89185064967854890
"JAM",237094.13298517842644583,238183.27249219177085531
"KEN",649579.40279353008014361,650650.98962728747120894
"KHM",4284047.08256095212993429,4312232.98173340307670087
"KNA",5844.24772902308748355,5886.23725926981341688
"LAO",8322187.68979509206269539,8368594.62681559708384912
"LBR",4429048.62732132758492996,4430075.34902439151893038
"LCA",13935.35922150019233063,13973.40430616328310529
"LKA",596014.55848896192281511,596417.44438430677581660
"LSO",1.01109124505316853,1.4154914665603301
"MAF",804.0330856480061544,808.7926445342549329
"MDG",4853676.74651553694093272,4873080.19024578578560779
"MDV",830.4554685327525424,973.5880154298888478
"MEX",9213380.71863643357811086,9267211.97830479529680359
"MMR",14035360.53024058407454512,14142251.84934025541558081
"MOZ",119683.57731065275050302,126644.99912349464916766
"MSR",1728.6078821391009041,1747.7829384975064256
"MTQ",17072.55646532231752803,17257.67813529823660708
"MWI",5236.46643938006521609,5377.17703234572884676
"MYS",15939453.85246024543998927,15947052.63467158316508506
"NGA",1903123.84285454147735986,1917978.40364871391229367
"NIC",2020207.11106099603782208,2025214.00921721395221748
"NPL",725083.75001929418758980,745415.12617105464986666
"PAN",2902228.64970504484748545,2915358.19743051003077438
"PER",69125435.45446629688453476,69170713.83945720441590691
"PHL",4585030.74952109506933548,4588541.11148869538994002
"PLW",19014.72428777312790325,19161.18556947199044997
"PNG",32595230.72163251325115089,32612948.07520083898620007
"PRI",64517.35373877852388993,64748.16663094057475004
"PRY",3481100.08285437645835875,3485706.14505677493785113
"RWA",53730.72965375820697205,53780.76488198107005205
"SEN",3480.83992479827552006,10018.54268699241083844
"SGP",844.09448072411111955,845.70961337411702815
"SLB",1992883.89802173150991063,1995725.98717919197353991
"SLE",276388.13260215208091618,276675.45052436917657828
"SLV",50573.04334131444312663,52840.74251955226158311
"SSD",83749.50427019358519698,83939.59892140474029698
"SUR",12770374.57507861528250649,12775508.64784683501336961
"SXM",255.75278477397720585,258.97531306412834585
"TCA",2806.40593211833707463,3200.90098392215558257
"TGO",1625.66387929181973220,1646.74779881147530330
"THA",5936848.61677834323819730,5971469.48758578517599414
"TLS",350.16136688879010404,350.31372175678652333
"TTO",153656.69922831159494396,153795.79127242442115729
"TWN",606711.37864300812801809,608482.12618388343970602
"TZA",732170.59312120764000854,743477.47026761246258172
"UGA",509095.17434355431007991,509358.27746504833822554
"UMI",61.39992794397908,62.13088605121867
"USA",199884.28652887304887986,200776.05913984414900910
"VCT",6274.50657790149196917,6528.3134247135756833
"VEN",38611292.22233671728306209,38666663.04437252912519706
"VGB",3022.79850752660524004,3120.43756102789307233
"VIR",2723.86548795137844896,2762.61814573655438778
"VNM",6731710.68388977155178090,6793046.09016654651165619
"VUT",367518.92567423378448362,371391.51524415960826760
"ZAF",125516.42733639462709435,125843.54156259454480591
"ZMB",330618.55249580543925625,330654.32048289674266266
"ZWE",7601.29361577548369374,7613.36589132309710274
