"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"AFG",2001,88.09271247269965469,23242.622269134786094
"AGO",2001,101220.62152450016812963,37479550.6147631273593845
"AIA",2001,3.87846070809678965,649.56108480249433
"ALA",2001,396.934825671746596424,74296.553924580857834
"ALB",2001,3729.021031484866191222,1365789.740036976223110
"AND",2001,1.654212947706163456,566.646818378040943
"ARG",2001,147805.950355627052198060,32625004.4642697260776350
"ARM",2001,131.840612264474791905,39949.734186326026237
"ATG",2001,24.07418943832681541,7212.162248074206749
"AUS",2001,218816.302071089717076977,28222182.9345568315635072
"AUT",2001,6926.269007849011234375,2789699.044772193713163
"AZE",2001,553.29935612138201646,156502.2262488761649749
"BDI",2001,1417.24695708633787275,486973.413168067678086
"BEL",2001,971.488195276284856111,420174.152528463770132
"BEN",2001,3749.33110518270000187,1119344.320003105547420
"BES",2001,3.03185725290093330,277.490677792210525
"BFA",2001,59.47710511239313176,252746.1370513479785805
"BGD",2001,4586.99720271471100827,2293885.113885817604047
"BGR",2001,8202.319111659730155245,2099766.382964684504663
"BHS",2001,432.99941970350697711,90132.634082001795846
"BIH",2001,1496.107104549774901826,496454.342126956116248
"BLR",2001,18358.964278885900931719,4985186.6479393152368026
"BLZ",2001,8211.62949254660564945,3626172.817242437326723
"BMU",2001,0.1958197936338976,62.84709498444276
"BOL",2001,140321.26053098015205804,63470048.77337102560950049
"BRA",2001,2746361.55670610327268796,1194228307.44033946094130463
"BRB",2001,12.36746156416883842,3432.53497902669368
"BRN",2001,1244.45382286781158266,757789.614947829986834
"BTN",2001,297.65963149439672813,157126.0210906675916694
"BWA",2001,130.98388147723630101,24757.638814423304643
"CAF",2001,31282.43685307151456245,14207620.389622177944302
"CAN",2001,1358154.799492040020934213,419196844.9140736437753970
"CHE",2001,1165.213247325959234499,540278.2545064351332162
"CHL",2001,72711.302806947172111321,21209276.2767110455973646
"CHN",2001,230289.115278809458339550,87779006.3273579827200808
"CIV",2001,122711.45023837926147642,46812750.504579062904349
"CMR",2001,39203.71718120802797853,19447536.812638713648714
"COD",2001,455516.73897045697038980,254244885.5600599824610183
"COG",2001,27030.69621787330212040,14019383.150306671080980
"COL",2001,230054.83567237292752947,112949016.9649314367989466
"COM",2001,36.97369320812446572,17571.61329451543161
"CPV",2001,7.1364507943294272,0.0
"CRI",2001,15461.87944946767333902,7007147.661905396724209
"CUB",2001,18942.90877802544465309,5483739.5828729722422429
"CUW",2001,0.90278852551215287,200.821721038739751
"CYM",2001,20.68161219993162750,4935.9125478871703816
"CYP",2001,78.62890207442059145,13156.4652047635963948
"CZE",2001,3460.142585505529022936,1315253.137623118858012
"DEU",2001,15286.38056788825910004,6146136.995835767205645
"DMA",2001,22.79275551081271923,13258.790938555648828
"DNK",2001,4329.295853187872267272,1038398.211714118653727
"DOM",2001,11246.81006554313852656,4220410.807867161504072
"DZA",2001,3468.760252169604246698,821888.0729425466139857
"ECU",2001,45002.46870978925501388,25016527.7104127058072215
"EGY",2001,147.76494268109265975,44798.122547024042862
"ERI",2001,2.52952433260253888,990.51615643238662
"ESP",2001,32811.053519209329330604,9526959.2273488749653023
"EST",2001,16872.43450527268103394,3712196.194679447850058
"ETH",2001,11947.24724356116857781,5314032.742042220205461
"FIN",2001,151003.260500030228869759,28037721.9229831509297210
"FJI",2001,1097.76405439653258084,537214.590643403986140
"FRA",2001,34420.963394336180752979,12639867.8045574141300723
"GAB",2001,15082.63772959298131695,8545503.784052666457923
"GBR",2001,23244.127250639827169312,8338867.313094112604714
"GEO",2001,666.556366612170242146,242408.565763522326721
"GGY",2001,0.9576780356467015,234.72660591705670
"GHA",2001,43644.05617298841820343,17143533.963222382317854
"GIB",2001,0.18728563696831596,45.20122925710122
"GIN",2001,18571.52585588293966532,6624018.686510670604734
"GLP",2001,320.70238556614373406,117861.628768735525579
"GMB",2001,3.29742186304958861,3288.249414291176255
"GNB",2001,2362.15302834531847236,732238.0899856155035129
"GNQ",2001,3585.41910142410032644,2162379.452947841601914
"GRC",2001,12616.822022141134220106,2370989.405600972680350
"GRD",2001,32.81085886816514400,17856.392266661686262
"GTM",2001,53310.17515246642586189,21983389.73600534495795283
"GUF",2001,3033.28774855398507551,2242450.629510186539464
"GUY",2001,10039.86770689784841663,6340581.4094154198145384
"HKG",2001,7.98129121390516522,3430.352355624841543
"HND",2001,42380.17445673982780647,17874029.618069691857075
"HRV",2001,3378.48960363450866252,1115452.126102986651517
"HTI",2001,2469.04829834469414034,866799.3985676677627714
"HUN",2001,7522.059331819898509877,2593965.985656318938708
"IDN",2001,744087.98910984775480522,491971247.5826990703564610
"IMN",2001,15.97543761675781290,4023.936391908500813
"IND",2001,62361.17449539603620821,31088425.40811584355843704
"IRL",2001,9559.474140865520912565,4002283.127390189968766
"IRN",2001,332.483705373783837855,79007.303175822064155
"IRQ",2001,16.02663641701606304,4380.30943909010414275
"ISR",2001,145.96523805449430218,32148.4760425487426697
"ITA",2001,9871.496931661053770916,2625475.7824688571920720
"JAM",2001,1246.24152332715975718,604732.714807270653520
"JEY",2001,3.69633887055772634,1334.48139187741396
"JOR",2001,0.52202803109049483,128.814873142180796
"JPN",2001,23977.46161886465269721,8852675.781235831820474
"KAZ",2001,4534.702741323652698678,1046734.1820985387644595
"KEN",2001,19027.21104888776906290,8923501.917674669190569
"KGZ",2001,589.22635599647152247,131833.912741911561398
"KHM",2001,28491.44387094623540402,14347367.30619362982092699
"KNA",2001,45.60965867606336469,18773.403732273410927
"KOR",2001,5503.445334868891376233,1351803.23134508941698703
"LAO",2001,36474.65075046011040758,18485247.9329178275119858
"LBN",2001,299.40426759799166053,74833.026767263599328
"LBR",2001,29185.67018032968439706,13222688.903247332695132
"LBY",2001,17.15270151697374308,3934.2894275204995952
"LCA",2001,31.08046320850476534,14720.949102828798587
"LIE",2001,3.42394321194010429,1685.743630580672073
